Test,Message Size (Bytes),Write Time (ms),Read Time (ms),Total Time (ms)
1,1024,0.013,0.059,0.072
2,1024,0.001,0.001,0.003
3,1024,0.001,0.001,0.002
4,1024,0.001,0.001,0.002
5,1024,0.005,0.001,0.006
6,1024,0.001,0.005,0.006
7,1024,0.001,0.001,0.002
8,1024,0.001,0.001,0.003
9,1024,0.001,0.001,0.003
10,1024,0.001,0.001,0.003
11,1024,0.001,0.001,0.003
12,1024,0.001,0.001,0.003
13,1024,0.001,0.001,0.003
14,1024,0.001,0.001,0.003
15,1024,0.001,0.001,0.003
16,1024,0.001,0.001,0.003
17,1024,0.001,0.001,0.003
18,1024,0.001,0.001,0.003
19,1024,0.001,0.001,0.003
20,1024,0.001,0.001,0.003
21,1024,0.001,0.001,0.003
22,1024,0.001,0.001,0.003
23,1024,0.001,0.001,0.003
24,1024,0.004,0.006,0.011
25,1024,0.001,0.004,0.005
26,1024,0.001,0.005,0.007
27,1024,0.001,0.001,0.003
28,1024,0.001,0.006,0.007
29,1024,0.001,0.001,0.003
30,1024,0.001,0.001,0.003
31,1024,0.001,0.001,0.003
32,1024,0.001,0.004,0.005
33,1024,0.002,0.006,0.007
34,1024,0.001,0.001,0.003
35,1024,0.001,0.001,0.003
36,1024,0.001,0.004,0.005
37,1024,0.001,0.004,0.005
38,1024,0.002,0.004,0.005
39,1024,0.001,0.004,0.005
40,1024,0.001,0.004,0.005
41,1024,0.001,0.001,0.003
42,1024,0.002,0.004,0.005
43,1024,0.001,0.002,0.003
44,1024,0.004,0.005,0.009
45,1024,0.002,0.001,0.003
46,1024,0.001,0.006,0.007
47,1024,0.001,0.001,0.003
48,1024,0.001,0.001,0.003
49,1024,0.001,0.004,0.005
50,1024,0.001,0.004,0.005
51,1024,0.001,0.004,0.005
52,1024,0.001,0.001,0.003
53,1024,0.001,0.001,0.003
54,1024,0.004,0.005,0.009
55,1024,0.001,0.004,0.005
56,1024,0.002,0.004,0.005
57,1024,0.001,0.001,0.003
58,1024,0.002,0.004,0.006
59,1024,0.001,0.005,0.007
60,1024,0.001,0.001,0.003
61,1024,0.001,0.006,0.007
62,1024,0.001,0.001,0.003
63,1024,0.001,0.004,0.005
64,1024,0.001,0.004,0.005
65,1024,0.001,0.001,0.003
66,1024,0.001,0.004,0.005
67,1024,0.001,0.001,0.003
68,1024,0.002,0.004,0.005
69,1024,0.001,0.001,0.003
70,1024,0.001,0.004,0.005
71,1024,0.001,0.004,0.005
72,1024,0.001,0.001,0.003
73,1024,0.004,0.005,0.009
74,1024,0.001,0.003,0.005
75,1024,0.001,0.001,0.003
76,1024,0.004,0.005,0.009
77,1024,0.001,0.003,0.005
78,1024,0.001,0.002,0.003
79,1024,0.002,0.004,0.005
80,1024,0.001,0.005,0.007
81,1024,0.001,0.001,0.003
82,1024,0.001,0.002,0.004
83,1024,0.004,0.005,0.009
84,1024,0.001,0.002,0.003
85,1024,0.002,0.004,0.005
86,1024,0.002,0.004,0.005
87,1024,0.001,0.006,0.007
88,1024,0.001,0.001,0.003
89,1024,0.001,0.002,0.003
90,1024,0.004,0.005,0.009
91,1024,0.002,0.004,0.005
92,1024,0.001,0.001,0.003
93,1024,0.001,0.004,0.005
94,1024,0.001,0.004,0.005
95,1024,0.002,0.004,0.005
96,1024,0.001,0.001,0.003
97,1024,0.002,0.004,0.005
98,1024,0.002,0.004,0.005
99,1024,0.001,0.001,0.003
100,1024,0.001,0.002,0.003
