Block Size (MB),Trial Num,Allocation Time (ms),Write Time (ms),Read Time (ms),Free Time (ms)
100,1,,40372,80735,
100,2,,40368,80734,
100,3,,40366,80733,22.0
100,4,,40371,80763,
100,5,,40367,80734,22.0
100,6,,40370,80735,25.0
100,7,,40367,80731,22.0
100,8,,40367,80732,25.0
100,9,,40366,80733,22.0
100,10,,40367,80732,24.0
100,11,,40367,80743,25.0
100,12,,40372,80752,25.0
100,13,,40371,80746,24.0
100,14,,40381,80732,25.0
100,15,,40366,80732,22.0
100,16,,40368,80731,24.0
100,17,,40367,80731,22.0
100,18,,40367,80731,24.0
100,19,,40369,80730,22.0
100,20,1.0,40365,80754,26.0
100,21,,40369,80740,
100,22,,40368,80754,23.0
100,23,2.0,40366,80733,23.0
100,24,,40368,80735,23.0
100,25,,40365,80732,22.0
100,26,1.0,40365,80732,22.0
100,27,,40369,80729,24.0
100,28,,40368,80746,25.0
100,29,4.0,40368,80740,23.0
100,30,1.0,40367,80760,26.0
100,31,,40368,80742,
100,32,,40368,80736,23.0
100,33,2.0,40374,80734,24.0
100,34,1.0,40367,80740,22.0
100,35,,40368,80732,25.0
100,36,,40367,80754,24.0
100,37,5.0,40371,80732,23.0
100,38,1.0,40369,80738,24.0
100,39,1.0,40367,80731,26.0
100,40,,40367,80733,
100,41,,40371,80733,23.0
100,42,2.0,40365,80732,23.0
100,43,1.0,40365,80732,23.0
100,44,1.0,40365,80733,23.0
100,45,,40368,80756,25.0
100,46,,40367,80735,23.0
100,47,1.0,40388,80737,26.0
100,48,5.0,40368,80741,24.0
100,49,1.0,40366,80736,23.0
100,50,1.0,40370,80735,24.0
100,51,,40367,80735,
100,52,,40369,80733,23.0
100,53,1.0,40366,80737,23.0
100,54,1.0,40369,80733,23.0
100,55,1.0,40371,80747,25.0
100,56,3.0,40366,80740,24.0
100,57,1.0,40369,80732,24.0
100,58,,40370,80732,
100,59,,40369,80731,23.0
100,60,1.0,40367,80730,24.0
100,61,1.0,40368,80732,23.0
100,62,1.0,40400,80740,28.0
100,63,7.0,40366,80752,25.0
100,64,3.0,40368,80735,24.0
100,65,,40369,80737,24.0
100,66,,40366,80732,23.0
100,67,2.0,40367,80732,23.0
100,68,1.0,40367,80732,23.0
100,69,1.0,40365,80749,23.0
100,70,1.0,40365,80731,23.0
100,71,1.0,40366,80743,26.0
100,72,5.0,40383,80754,23.0
100,73,,40375,80741,
100,74,,40371,80734,23.0
100,75,1.0,40367,80736,24.0
100,76,1.0,40375,80743,23.0
100,77,1.0,40365,80735,23.0
100,78,1.0,40368,80748,23.0
100,79,1.0,40373,80736,23.0
100,80,1.0,40370,80750,24.0
100,81,5.0,40366,80734,23.0
100,82,,40370,80739,
100,83,,40372,80737,23.0
100,84,2.0,40369,80732,24.0
100,85,1.0,40366,80734,24.0
100,86,1.0,40366,80748,28.0
100,87,3.0,40368,80731,26.0
100,88,1.0,40367,80743,24.0
100,89,1.0,40365,80732,23.0
100,90,1.0,40366,80732,24.0
100,91,1.0,40367,80731,26.0
100,92,,40367,80734,
100,93,,40366,80732,25.0
100,94,2.0,40366,80748,24.0
100,95,4.0,40369,80736,23.0
100,96,1.0,40367,80732,23.0
100,97,1.0,40377,80732,23.0
100,98,1.0,40367,80733,23.0
100,99,1.0,40366,80736,23.0
100,100,1.0,40366,80732,24.0
200,1,1.0,80737,161468,54.0
200,2,,80736,161462,
200,3,,80746,161478,50.0
200,4,4.0,80733,161465,48.0
200,5,1.0,80733,161468,49.0
200,6,,80756,161468,
200,7,7.0,80746,161465,
200,8,29.0,80732,161463,
200,9,,80735,161463,
200,10,,80759,161477,52.0
200,11,6.0,80739,161487,50.0
200,12,4.0,80734,161470,49.0
200,13,14.0,80734,161465,53.0
200,14,1.0,80748,161472,53.0
200,15,4.0,80733,161489,52.0
200,16,,80739,161471,51.0
200,17,,80739,161468,48.0
200,18,2.0,80736,161484,48.0
200,19,1.0,80738,161472,49.0
200,20,1.0,80737,161468,48.0
200,21,1.0,80734,161474,48.0
200,22,0.0,80735,161490,58.0
200,23,8.0,80733,161471,50.0
200,24,,80744,161468,
200,25,,80734,161469,49.0
200,26,2.0,80733,161496,54.0
200,27,8.0,80735,161464,55.0
200,28,2.0,80746,161483,54.0
200,29,5.0,80735,161472,53.0
200,30,1.0,80736,161468,53.0
200,31,1.0,80750,161467,52.0
200,32,5.0,80741,161481,53.0
200,33,,80736,161480,
200,34,,80734,161485,49.0
200,35,1.0,80754,161468,51.0
200,36,5.0,80733,161481,55.0
200,37,4.0,80735,161467,54.0
200,38,1.0,80733,161468,56.0
200,39,1.0,80750,161466,55.0
200,40,3.0,80731,161469,49.0
200,41,1.0,80734,161462,55.0
200,42,1.0,80731,161470,50.0
200,43,,80733,161465,
200,44,,80735,161469,50.0
200,45,2.0,80735,161464,50.0
200,46,1.0,80731,161465,49.0
200,47,1.0,80755,161468,56.0
200,48,9.0,80734,161466,55.0
200,49,1.0,80736,161476,56.0
200,50,6.0,80738,161464,49.0
200,51,1.0,80732,161488,54.0
